iter	Passed	Remaining
0	96	192807
1	179	179170
2	252	168186
3	320	159733
4	394	157586
5	467	155414
6	541	154039
7	610	151960
8	677	149788
9	760	151393
10	896	162047
11	985	163334
12	1067	163218
13	1144	162296
14	1217	161179
15	1299	161188
16	1368	159622
17	1441	158700
18	1512	157693
19	1583	156797
20	1667	157117
21	1732	155802
22	1797	154496
23	1882	155017
24	1954	154433
25	2021	153515
26	2093	152999
27	2163	152403
28	2229	151496
29	2295	150725
30	2365	150232
31	2437	149900
32	2518	150128
33	2586	149546
34	2659	149328
35	2728	148829
36	2798	148446
37	2864	147886
38	2931	147418
39	2998	146922
40	3063	146395
41	3130	145956
42	3202	145739
43	3273	145510
44	3340	145105
45	3406	144706
46	3473	144347
47	3540	143998
48	3609	143709
49	3677	143440
50	3747	143222
51	3815	142935
52	3882	142618
53	3948	142276
54	4014	141976
55	4083	141748
56	4149	141463
57	4217	141206
58	4293	141249
59	4362	141046
60	4428	140755
61	4495	140531
62	4564	140352
63	4632	140128
64	4699	139913
65	4766	139667
66	4842	139699
67	4909	139477
68	4982	139433
69	5047	139159
70	5112	138898
71	5180	138723
72	5244	138452
73	5310	138224
74	5378	138060
75	5442	137790
76	5507	137549
77	5572	137310
78	5636	137069
79	5702	136868
80	5766	136617
81	5831	136390
82	5899	136253
83	5962	136005
84	6027	135795
85	6092	135588
86	6156	135368
87	6221	135174
88	6285	134962
89	6349	134750
90	6418	134644
91	6484	134489
92	6550	134311
93	6615	134146
94	6679	133949
95	6746	133807
96	6810	133616
97	6875	133440
98	6947	133401
99	7014	133277
100	7079	133105
101	7144	132945
102	7208	132762
103	7271	132563
104	7336	132398
105	7401	132257
106	7470	132164
107	7536	132030
108	7602	131889
109	7670	131787
110	7734	131623
111	7800	131490
112	7869	131419
113	7935	131283
114	8003	131184
115	8068	131043
116	8132	130891
117	8198	130754
118	8263	130619
119	8327	130469
120	8393	130337
121	8459	130217
122	8529	130163
123	8594	130029
124	8661	129917
125	8726	129793
126	8791	129663
127	8856	129523
128	8921	129394
129	8987	129276
130	9054	129178
131	9122	129093
132	9185	128943
133	9251	128823
134	9314	128675
135	9379	128549
136	9446	128455
137	9510	128323
138	9577	128226
139	9644	128129
140	9706	127979
141	9771	127860
142	9837	127755
143	9906	127678
144	9971	127560
145	10035	127440
146	10101	127327
147	10169	127254
148	10234	127143
149	10299	127025
150	10364	126916
151	10430	126808
152	10494	126687
153	10558	126567
154	10622	126444
155	10695	126431
156	10762	126342
157	10827	126227
158	10891	126105
159	10955	125992
160	11019	125871
161	11084	125765
162	11149	125649
163	11224	125660
164	11288	125543
165	11353	125436
166	11417	125323
167	11484	125230
168	11548	125116
169	11612	125008
170	11678	124912
171	11748	124856
172	11813	124757
173	11877	124648
174	11941	124531
175	12007	124440
176	12074	124356
177	12138	124250
178	12203	124149
179	12271	124075
180	12336	123974
181	12401	123876
182	12467	123786
183	12531	123677
184	12595	123573
185	12659	123463
186	12724	123367
187	12793	123311
188	12860	123226
189	12924	123127
190	12991	123041
191	13054	122926
192	13118	122825
193	13185	122743
194	13249	122641
195	13315	122558
196	13382	122476
197	13446	122376
198	13512	122288
199	13577	122197
200	13641	122092
201	13706	121998
202	13792	122094
203	14002	123276
204	14080	123286
205	14143	123172
206	14209	123079
207	14274	122978
208	14338	122872
209	14408	122811
210	14472	122708
211	14537	122607
212	14602	122512
213	14667	122413
214	14734	122326
215	14798	122227
216	14863	122129
217	14933	122068
218	15000	121990
219	15065	121894
220	15131	121802
221	15197	121715
222	15264	121634
223	15330	121550
224	15395	121454
225	15464	121390
226	15531	121307
227	15598	121227
228	15663	121137
229	15728	121042
230	15795	120964
231	15861	120871
232	15926	120785
233	15998	120740
234	16065	120659
235	16130	120566
236	16198	120500
237	16265	120419
238	16332	120343
239	16399	120260
240	16463	120165
241	16541	120164
242	16608	120085
243	16673	119996
244	16738	119904
245	16805	119826
246	16873	119751
247	16939	119669
248	17004	119577
249	17077	119541
250	17144	119464
251	17210	119383
252	17275	119290
253	17340	119201
254	17407	119119
255	17470	119019
256	17537	118941
257	17608	118888
258	17673	118802
259	17739	118720
260	17806	118643
261	17871	118548
262	17937	118469
263	18004	118390
264	18069	118304
265	18144	118278
266	18212	118212
267	18280	118137
268	18345	118054
269	18411	117970
270	18481	117911
271	18549	117844
272	18616	117767
273	18685	117705
274	18751	117622
275	18817	117543
276	18884	117464
277	18951	117388
278	19017	117310
279	19084	117234
280	19152	117165
281	19222	117110
282	19287	117021
283	19354	116946
284	19426	116899
285	19493	116825
286	19560	116751
287	19626	116671
288	19695	116606
289	19763	116538
290	19830	116463
291	19896	116380
292	19964	116309
293	20031	116235
294	20102	116184
295	20168	116103
296	20237	116043
297	20306	115978
298	20373	115904
299	20439	115824
300	20507	115756
301	20578	115702
302	20645	115627
303	20711	115548
304	20786	115518
305	20860	115482
306	20926	115403
307	20993	115327
308	21060	115251
309	21125	115167
310	21192	115094
311	21259	115019
312	21330	114966
313	21397	114890
314	21464	114818
315	21529	114731
316	21596	114660
317	21664	114589
318	21731	114516
319	21798	114440
320	21870	114392
321	21935	114310
322	22002	114236
323	22070	114166
324	22137	114093
325	22205	114025
326	22272	113951
327	22341	113886
328	22412	113832
329	22483	113781
330	22551	113708
331	22618	113638
332	22685	113563
333	22752	113488
334	22819	113414
335	22890	113362
336	22958	113292
337	23025	113219
338	23091	113143
339	23164	113096
340	23232	113030
341	23300	112958
342	23368	112892
343	23440	112843
344	23508	112772
345	23576	112703
346	23643	112632
347	23711	112561
348	23778	112488
349	23846	112420
350	23913	112345
351	23994	112336
352	24063	112272
353	24130	112199
354	24199	112135
355	24264	112052
356	24340	112021
357	24408	111950
358	24477	111886
359	24548	111831
360	24616	111760
361	24683	111691
362	24751	111619
363	24818	111548
364	24884	111468
365	24952	111399
366	25024	111348
367	25090	111271
368	25157	111196
369	25224	111125
370	25289	111042
371	25356	110969
372	25424	110901
373	25491	110826
374	25562	110771
375	25632	110710
376	25698	110632
377	25770	110581
378	25838	110512
379	25906	110443
380	25973	110370
381	26040	110298
382	26113	110248
383	26179	110173
384	26270	110199
385	26383	110318
386	26487	110397
387	26556	110334
388	26629	110281
389	26697	110212
390	26764	110139
391	26832	110068
392	26900	109998
393	26967	109924
394	27035	109854
395	27101	109776
396	27177	109736
397	27245	109666
398	27312	109593
399	27380	109522
400	27448	109452
401	27514	109375
402	27581	109297
403	27648	109225
404	27719	109166
405	27787	109098
406	27856	109031
407	27922	108950
408	27990	108883
409	28066	108844
410	28132	108765
411	28203	108707
412	28273	108645
413	28342	108575
414	28411	108509
415	28480	108443
416	28548	108373
417	28615	108301
418	28684	108233
419	28757	108183
420	28824	108110
421	28898	108061
422	28966	107989
423	29034	107919
424	29102	107851
425	29170	107780
426	29239	107712
427	29311	107659
428	29382	107598
429	29449	107524
430	29518	107457
431	29585	107385
432	29654	107318
433	29726	107262
434	29797	107201
435	29873	107161
436	29940	107086
437	30007	107014
438	30077	106950
439	30144	106876
440	30213	106810
441	30283	106745
442	30353	106682
443	30424	106621
444	30491	106549
445	30560	106481
446	30627	106406
447	30695	106339
448	30763	106266
449	30831	106195
450	30907	106154
451	30976	106088
452	31045	106019
453	31113	105950
454	31191	105913
455	31259	105844
456	31327	105773
457	31397	105708
458	31468	105649
459	31536	105579
460	31606	105515
461	31676	105449
462	31743	105378
463	31810	105305
464	31879	105237
465	31951	105178
466	32020	105113
467	32094	105062
468	32162	104989
469	32230	104919
470	32299	104852
471	32366	104778
472	32434	104708
473	32506	104653
474	32575	104583
475	32642	104511
476	32711	104443
477	32778	104370
478	32845	104296
479	32912	104222
480	32981	104154
481	33054	104100
482	33122	104030
483	33191	103961
484	33260	103897
485	33329	103829
486	33397	103758
487	33466	103690
488	33537	103629
489	33608	103567
490	33676	103499
491	33746	103433
492	33815	103367
493	33883	103295
494	33950	103223
495	34020	103157
496	34092	103099
497	34161	103032
498	34236	102983
499	34303	102911
500	34371	102839
501	34440	102773
502	34508	102702
503	34577	102635
504	34650	102580
505	34719	102512
506	34787	102440
507	34857	102376
508	34924	102304
509	34994	102238
510	35062	102168
511	35134	102110
512	35205	102048
513	35275	101983
514	35344	101915
515	35412	101846
516	35481	101778
517	35549	101708
518	35618	101639
519	35689	101579
520	35759	101511
521	35829	101448
522	35896	101375
523	35966	101310
524	36035	101243
525	36103	101172
526	36172	101105
527	36247	101054
528	36315	100983
529	36385	100917
530	36454	100849
531	36522	100779
532	36589	100706
533	36659	100641
534	36731	100582
535	36801	100516
536	36870	100448
537	36937	100376
538	37006	100308
539	37074	100238
540	37141	100166
541	37211	100101
542	37288	100054
543	37361	99997
544	37431	99930
545	37499	99861
546	37569	99795
547	37638	99728
548	37707	99661
549	37778	99597
550	37850	99538
551	37918	99467
552	37988	99400
553	38058	99337
554	38127	99269
555	38195	99199
556	38264	99129
557	38335	99067
558	38406	99004
559	38475	98937
560	38544	98869
561	38613	98801
562	38682	98734
563	38754	98671
564	38823	98604
565	38898	98550
566	38967	98484
567	39036	98415
568	39111	98362
569	39181	98297
570	39250	98229
571	39320	98163
572	39394	98108
573	39468	98051
574	39536	97980
575	39606	97916
576	39675	97847
577	39743	97777
578	39813	97712
579	39883	97644
580	39956	97587
581	40027	97522
582	40097	97458
583	40166	97389
584	40236	97324
585	40306	97258
586	40374	97188
587	40447	97129
588	40520	97071
589	40591	97007
590	40660	96938
591	40729	96870
592	40797	96798
593	40865	96728
594	40933	96658
595	41008	96604
596	41078	96538
597	41147	96469
598	41217	96404
599	41290	96344
600	41358	96274
601	41428	96207
602	41500	96145
603	41571	96083
604	41641	96015
605	41710	95948
606	41780	95881
607	41853	95822
608	41922	95753
609	41990	95683
610	42063	95623
611	42134	95559
612	42204	95493
613	42275	95428
614	42344	95360
615	42413	95291
616	42482	95224
617	42552	95158
618	42627	95103
619	42696	95034
620	42765	94966
621	42835	94899
622	42905	94832
623	42974	94764
624	43044	94697
625	43117	94637
626	43189	94575
627	43258	94508
628	43328	94441
629	43398	94373
630	43468	94308
631	43537	94240
632	43608	94174
633	43683	94118
634	43751	94048
635	43821	93982
636	43890	93914
637	43959	93844
638	44028	93775
639	44096	93705
640	44168	93643
641	44241	93583
642	44313	93519
643	44384	93455
644	44454	93389
645	44524	93322
646	44594	93254
647	44663	93187
648	44740	93135
649	44812	93071
650	44882	93005
651	44951	92936
652	45021	92869
653	45090	92801
654	45160	92733
655	45233	92674
656	45310	92620
657	45380	92553
658	45450	92488
659	45519	92418
660	45588	92348
661	45659	92283
662	45728	92215
663	45801	92154
664	45873	92092
665	45944	92026
666	46014	91960
667	46082	91889
668	46152	91821
669	46222	91755
670	46291	91685
671	46365	91626
672	46434	91558
673	46504	91492
674	46575	91425
675	46647	91363
676	46729	91319
677	46799	91252
678	46878	91203
679	46949	91137
680	47019	91070
681	47090	91004
682	47159	90934
683	47229	90867
684	47300	90803
685	47373	90742
686	47447	90682
687	47517	90614
688	47587	90547
689	47656	90478
690	47727	90412
691	47796	90343
692	47866	90276
693	47940	90217
694	48011	90151
695	48081	90084
696	48149	90013
697	48220	89947
698	48290	89879
699	48359	89809
700	48430	89744
701	48504	89684
702	48574	89618
703	48645	89551
704	48716	89487
705	48787	89421
706	48855	89350
707	48926	89283
708	49005	89232
709	49074	89164
710	49143	89093
711	49213	89026
712	49284	88960
713	49354	88893
714	49424	88825
715	49495	88760
716	49567	88695
717	49636	88627
718	49711	88567
719	49794	88522
720	49865	88458
721	49935	88390
722	50007	88325
723	50084	88270
724	50168	88228
725	50240	88162
726	50310	88095
727	50379	88025
728	50450	87958
729	50520	87891
730	50596	87833
731	50666	87767
732	50740	87706
733	50811	87640
734	50882	87573
735	50953	87506
736	51026	87443
737	51100	87383
738	51171	87317
739	51241	87249
740	51313	87184
741	51382	87114
742	51454	87050
743	51525	86983
744	51594	86913
745	51670	86855
746	51741	86789
747	51813	86724
748	51906	86695
749	51979	86632
750	52057	86576
751	52128	86511
752	52204	86453
753	52276	86388
754	52347	86321
755	52421	86260
756	52506	86216
757	52576	86148
758	52646	86080
759	52725	86026
760	52797	85961
761	52868	85894
762	52938	85824
763	53008	85756
764	53086	85701
765	53157	85634
766	53229	85570
767	53301	85503
768	53372	85437
769	53443	85371
770	53515	85305
771	53587	85240
772	53658	85172
773	53728	85105
774	53814	85061
775	53886	84996
776	53956	84927
777	54027	84860
778	54099	84794
779	54169	84726
780	54240	84659
781	54318	84602
782	54390	84537
783	54459	84467
784	54529	84399
785	54599	84330
786	54671	84264
787	54741	84195
788	54811	84128
789	54886	84066
790	54957	83999
791	55028	83932
792	55098	83863
793	55180	83812
794	55260	83759
795	55345	83713
796	55421	83653
797	55493	83587
798	55570	83529
799	55640	83461
800	55711	83393
801	55782	83325
802	55852	83257
803	55927	83196
804	56000	83131
805	56070	83062
806	56142	82995
807	56213	82928
808	56284	82861
809	56355	82793
810	56430	82731
811	56502	82665
812	56574	82600
813	56644	82531
814	56715	82463
815	56790	82401
816	56860	82332
817	56932	82266
818	57005	82202
819	57078	82137
820	57151	82072
821	57242	82032
822	57313	81965
823	57383	81896
824	57455	81830
825	57533	81772
826	57603	81703
827	57675	81636
828	57745	81568
829	57816	81499
830	57888	81434
831	57959	81365
832	58036	81307
833	58108	81240
834	58179	81173
835	58249	81103
836	58320	81034
837	58390	80966
838	58460	80897
839	58534	80833
840	58609	80771
841	58679	80701
842	58749	80632
843	58820	80564
844	58891	80496
845	58961	80427
846	59033	80361
847	59109	80299
848	59182	80233
849	59254	80168
850	59329	80105
851	59399	80036
852	59470	79967
853	59542	79900
854	59615	79836
855	59690	79772
856	59761	79705
857	59836	79642
858	59907	79573
859	59978	79506
860	60052	79442
861	60131	79384
862	60209	79325
863	60279	79257
864	60351	79189
865	60420	79118
866	60492	79052
867	60564	78984
868	60635	78916
869	60710	78853
870	60782	78786
871	60852	78717
