,2021-04-27 00:00:00+02:00,2021-04-27 00:15:00+02:00,2021-04-27 00:30:00+02:00,2021-04-27 00:45:00+02:00,2021-04-27 01:00:00+02:00,2021-04-27 01:15:00+02:00,2021-04-27 01:30:00+02:00,2021-04-27 01:45:00+02:00,2021-04-27 02:00:00+02:00,2021-04-27 02:15:00+02:00,2021-04-27 02:30:00+02:00,2021-04-27 02:45:00+02:00,2021-04-27 03:00:00+02:00,2021-04-27 03:15:00+02:00,2021-04-27 03:30:00+02:00,2021-04-27 03:45:00+02:00,2021-04-27 04:00:00+02:00,2021-04-27 04:15:00+02:00,2021-04-27 04:30:00+02:00,2021-04-27 04:45:00+02:00,2021-04-27 05:00:00+02:00,2021-04-27 05:15:00+02:00,2021-04-27 05:30:00+02:00,2021-04-27 05:45:00+02:00,2021-04-27 06:00:00+02:00,2021-04-27 06:15:00+02:00,2021-04-27 06:30:00+02:00,2021-04-27 06:45:00+02:00,2021-04-27 07:00:00+02:00,2021-04-27 07:15:00+02:00,2021-04-27 07:30:00+02:00,2021-04-27 07:45:00+02:00,2021-04-27 08:00:00+02:00,2021-04-27 08:15:00+02:00,2021-04-27 08:30:00+02:00,2021-04-27 08:45:00+02:00,2021-04-27 09:00:00+02:00,2021-04-27 09:15:00+02:00,2021-04-27 09:30:00+02:00,2021-04-27 09:45:00+02:00,2021-04-27 10:00:00+02:00,2021-04-27 10:15:00+02:00,2021-04-27 10:30:00+02:00,2021-04-27 10:45:00+02:00,2021-04-27 11:00:00+02:00,2021-04-27 11:15:00+02:00,2021-04-27 11:30:00+02:00,2021-04-27 11:45:00+02:00,2021-04-27 12:00:00+02:00,2021-04-27 12:15:00+02:00,2021-04-27 12:30:00+02:00,2021-04-27 12:45:00+02:00,2021-04-27 13:00:00+02:00,2021-04-27 13:15:00+02:00,2021-04-27 13:30:00+02:00,2021-04-27 13:45:00+02:00,2021-04-27 14:00:00+02:00,2021-04-27 14:15:00+02:00,2021-04-27 14:30:00+02:00,2021-04-27 14:45:00+02:00,2021-04-27 15:00:00+02:00,2021-04-27 15:15:00+02:00,2021-04-27 15:30:00+02:00,2021-04-27 15:45:00+02:00,2021-04-27 16:00:00+02:00,2021-04-27 16:15:00+02:00,2021-04-27 16:30:00+02:00,2021-04-27 16:45:00+02:00,2021-04-27 17:00:00+02:00,2021-04-27 17:15:00+02:00,2021-04-27 17:30:00+02:00,2021-04-27 17:45:00+02:00,2021-04-27 18:00:00+02:00,2021-04-27 18:15:00+02:00,2021-04-27 18:30:00+02:00,2021-04-27 18:45:00+02:00,2021-04-27 19:00:00+02:00,2021-04-27 19:15:00+02:00,2021-04-27 19:30:00+02:00,2021-04-27 19:45:00+02:00,2021-04-27 20:00:00+02:00,2021-04-27 20:15:00+02:00,2021-04-27 20:30:00+02:00,2021-04-27 20:45:00+02:00,2021-04-27 21:00:00+02:00,2021-04-27 21:15:00+02:00,2021-04-27 21:30:00+02:00,2021-04-27 21:45:00+02:00,2021-04-27 22:00:00+02:00,2021-04-27 22:15:00+02:00,2021-04-27 22:30:00+02:00,2021-04-27 22:45:00+02:00,2021-04-27 23:00:00+02:00,2021-04-27 23:15:00+02:00,2021-04-27 23:30:00+02:00,2021-04-27 23:45:00+02:00
2021-04-26 16:15:00+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-26 16:30:00+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-26 16:45:00+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-26 17:00:00+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-26 17:15:00+02:00,,,49.6645,,,,,,,,,,,,,,,,,,47.007387387387375,,,,,,77.96142857142858,,,,70.87693877551018,,,,,,96.21057692307694,,,,,,,,,52.053103448275856,,,,,,,,,39.78181818181818,,,,,,30.352777777777778,,,,29.632945205479455,,,,,,,,44.267222222222216,,,,,,,,,,,,,,54.54833333333333,39.99791666666666,,,,,,,,
2021-04-26 17:30:00+02:00,,,,44.056250000000006,,,,,,,,,,,,,,,,,,,,,,,,,70.6,81.723125,70.70676470588235,,,,,,,,49.7131623931624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-26 17:45:00+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.76,,,70.55127906976745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-26 18:00:00+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,76.53226415094338,,,81.6923076923077,,70.54824561403508,,,,,,,,,,,,,,,,,,,,,,,,32.42193548387096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.6916129032258,,,,,,,,,,
2021-04-26 18:15:00+02:00,,58.61583333333334,,,57.95914285714287,,50.33775,,,,,,,,,,,,,,45.87900000000001,,,,,,,,,,,,,,,,,,,44.954503311258286,,,,34.243793103448276,,,,,,,,41.070235294117644,,,,30.85478260869565,35.17211180124224,,,,34.46920398009949,,,,25.74857142857143,,,,36.0945197740113,48.062000000000005,61.0037037037037,75.97227848101265,40.664939759036145,56.74882352941176,,104.98320754716978,,70.41,89.04666666666668,87.88666666666666,,,,53.668125,94.8807142857143,,54.811428571428586,34.160000000000004,71.78464285714284,,,45.86531914893618,,,,
2021-04-26 18:30:00+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.17567567567568,,,84.09548387096775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
